model_name,train_time
all-mpnet-base-v2_6_12_13,41.98957347869873
all-mpnet-base-v2_6_12_14,41.43558955192566
all-mpnet-base-v2_6_12_15,41.264806509017944
all-mpnet-base-v2_6_12_16,40.45691108703613
all-mpnet-base-v2_6_12_17,40.14076590538025
all-mpnet-base-v2_6_12_18,40.33883810043335
all-mpnet-base-v2_6_12_19,39.17011046409607
all-mpnet-base-v2_6_12_20,38.81654357910156
all-mpnet-base-v2_6_12_21,38.722813844680786
all-mpnet-base-v2_6_12_22,38.23213219642639
all-mpnet-base-v2_6_12_23,38.26919889450073
all-mpnet-base-v2_6_12_24,38.26978540420532
all-mpnet-base-v2_6_12_25,38.12909197807312
all-mpnet-base-v2_6_13_5,57.47213530540466
all-mpnet-base-v2_6_13_6,55.78402757644653
all-mpnet-base-v2_6_13_7,52.0693781375885
all-mpnet-base-v2_6_13_8,50.10700225830078
all-mpnet-base-v2_6_13_9,47.20940637588501
all-mpnet-base-v2_6_13_10,45.820061683654785
all-mpnet-base-v2_6_13_11,44.504119873046875
all-mpnet-base-v2_6_13_12,43.148051023483276
all-mpnet-base-v2_6_13_13,42.39065980911255
all-mpnet-base-v2_6_13_14,41.63275599479675
all-mpnet-base-v2_6_13_15,41.66245746612549
all-mpnet-base-v2_6_13_16,41.21277642250061
all-mpnet-base-v2_6_13_17,40.83697986602783
all-mpnet-base-v2_6_13_18,40.079747676849365
all-mpnet-base-v2_6_13_19,39.50592589378357
all-mpnet-base-v2_6_13_20,39.56342935562134
all-mpnet-base-v2_6_13_21,39.07487225532532
all-mpnet-base-v2_6_13_22,39.30039119720459
all-mpnet-base-v2_6_13_23,38.735013246536255
all-mpnet-base-v2_6_13_24,38.86803841590881
all-mpnet-base-v2_6_13_25,39.33042931556702
all-mpnet-base-v2_6_14_5,58.418092489242554
all-mpnet-base-v2_6_14_6,54.45862293243408
all-mpnet-base-v2_6_14_7,52.28448295593262
all-mpnet-base-v2_6_14_8,50.871642112731934
all-mpnet-base-v2_6_14_9,49.1728458404541
all-mpnet-base-v2_6_14_10,46.01687002182007
all-mpnet-base-v2_6_14_11,44.263450145721436
all-mpnet-base-v2_6_14_12,43.777714014053345
all-mpnet-base-v2_6_14_13,43.526652574539185
all-mpnet-base-v2_6_14_14,42.81985664367676
all-mpnet-base-v2_6_14_15,42.06961703300476
